principio;accion;indicaciones;presentacion;posologia;duracion;contraindicaciones;observaciones;otros_nombres;;
Ácido VALPROÍCO;Antiepiléptico;Epilepsia generalizada o parcial ;"Comprimidos gastrorresistentes de 200 mg y 500 mg 
Existe también una solución oral de 200 mg/5 ml. 
";"[Prescripción bajo control médico]
Niños de menos de 20 kg: 20 mg/kg/día divididos en 2 tomas. 
- Niños de más de 20 kg: empezar por 400 mg (sea cual sea el peso del niño) divididos en 2 tomas y aumentar gradualmente hasta la dosis óptima (que varia según el paciente), normalmente entre 20 y 30 mg /kg/día divididos en 2 tomas. 
- Adultos: empezar por 600 mg/día divididos en 2 tomas y aumentar gradualmente de 200 en 200 mg cada 3 días hasta la dosis óptima (que varia según el paciente), normalmente entre 1 y 2 g/día divididos en 2 tomas (20 a 30 mg/kg/día). 
";Tratamiento de por vida ;"No administrar en caso de pancreatitis, enfermedad hepática (o antecedentes). 
- Puede provocar: 
• aumento de las crisis al principio del tratamiento, aumento de peso, trastornos digestivos o hepáticos, 
• raramente: pancreatitis, parkinsonismo, trastornos cognitivos o del comportamiento, confusión mental, reacciones alérgicas graves (síndromes de Lyell y Stevens-Johnson), amenorrea; trombopenia, prolongación del tiempo de hemorragia. 
- A ser posible, controlar las transaminasas y el tiempo de protrombina durante los primeros 3 a 6 meses de tratamiento. 
- Suspender el tratamiento en caso de ictericia, trastornos digestivos que hagan sospechar una hepatitis, aumento importante y persistente de las transaminasas, disminución del tiempo de protrombina. 
- Reducir la posología en caso de insuficiencia renal. 
- No asociar con mefloquina (aumento del riesgo de convulsiones). 
- Vigilar la asociación con: antidepresivos triciclos, otros antiepilépticos. 
- Si otros antiepilépticos ya están prescritos, introducir progresivamente el ácido valproíco durante 2 semanas, disminuyendo al mismo tiempo las dosis del antiepiléptico en uso. 
- Embarazo: no administrar durante el 1er trimestre, excepto en caso de necesidad vital, y si no existe alternativa terapéutica (riesgo de malformación del tubo neural, anomalías craneofaciales y de los miembros). No obstante, no interrumpir un tratamiento anti epiléptico instaurado antes del embarazo: administrar la dosis diaria en varias tomas fraccionadas y monitorizar al recién nacido (riesgo de síndrome hemorrágico no relacionado con un déficit de vitamina K). 
La administración de ácido fólico previo al embarazo y durante el 1er trimestre podría reducir el riesgo de malformación del tubo neural. 
- Lactancia: sin contraindicaciones 
";"Tomar los comprimidos con las comidas. 
- Conservación: temperatura inferior a 30°C - [Medicamento particularmente sensible a la humedad]
";;;
ZIDOVUDINA ;Antiretroviral, inhibidor nucleosídico de la transcriptasa inversa del VIH-1 y VIH-2 ;Infección por el VIH-1 o el VHI-2, en combinación con otros antiretrovirales ;"Cápsulas de 100 mg y 250 mg y comprimido de 300 mg 
- Solución oral de 50 mg/5 ml 
";"[Prescripción bajo control médico]
Prematuros: 3 mg/kg/día divididos en 2 tomas durante las primeras 2 semanas de vida, 
seguidos de 8 mg/kg/día divididos en 2 tomas 
- Niños menores de 4 semanas: 8 mg/kg/día divididos en 2 tomas 
- Niños de 4 semanas a 13 años: 360 a 480 mg/m2/día divididos en 2 tomas 
- Adultos: 600 mg/día divididos en 2 tomas 
                                                                                                                                                     
 Peso                Solución oral                Cápsula               Cápsula         Comprimido 
                            de 10 mg/ml              de 100 mg            de 250 mg         de 300 mg 
5 a 6 kg                  6 ml x 2                               -                               -                         -
7 a 9 kg                  8 ml x 2                               -                               -                         -
10 a 14 kg            12 ml x 2                      1 cáp x 2                        -                          -
15 a 19 kg             17 ml x 2                     2 cáp x 2                        -                          -
20 a 24 kg             20 ml x 2                     2 cáp x 2                       -                           -
25 a 29 kg             25 ml x 2                     3 cáp x 2               1 cáp x 2               1 cp x 2 
30 a 39 kg             28 ml x 2                     3 cáp x 2                1 cáp x 2              1 cp x 2 
? 40 kg                         -                               3 cáp x 2                       -                      1 cp x 2 
  ";La duración del tratamiento depende de la eficacia y de la tolerancia de la zidovudina;"N o a d m i n i s t r a r e n c a s o d e t r a s t o r n o s h e m a t o l ó g i c o s s e v e ro s ( l e u c o p e n i a , a n e m i a ) , 
hiperbilirubinemia o aumento de las transaminasas en niños lactantes. 
- Puede provocar: trastornos hematológicos (controlar el recuento y fórmula sanguíneo), 
trastornos digestivos (náuseas, diarrea, etc.), cefaleas, miopatias, trastornos hepáticos, acidosis láctica. En caso de trastornos hematológicos severos o trastornos hepáticos (hepatomegalia, aumento de las transaminasas, etc.), suspender la administración de zidovudina. 
- Reducir la posología en caso de insuficiencia renal o hepática severas. - No asociar con estavudina. 
- Embarazo: sin contraindicaciones 
- Lactancia: desaconsejado 
";"Para el tratamiento preventivo de la transmisión madre a hijo, informarse sobre el protocolo nacional. 
- Existen combinaciones a dosis fijas de zidovudina-lamivudina (Combivir®?) y de 
zidovudina-lamivudina-abcavir (Trizivir®?). 
- Conservación: temperatura inferior a 30°C. Para cápsulas: [Medicamento particularmente sensible a la luz y a la humedad]
";;;
ZIDOVUDINA + LAMIVUDINA ;"Combinación de 2 antiretrovirales inhibidores nucleosídicos de la transcriptasa inversa del 
VIH-1 y VIH-2 
";Infección por el VIH-1 o el VHI-2, en combinación con un otro antiretroviral ;"Comprimido de 60 mg de AZT/30 mg de 3TC 
- Comprimido de 300 mg de AZT/150 mg de 3TC 
";"[Prescripción bajo control médico]
Niños de menos de 25 kg: ver tabla a continuación                                             
  Peso                                     Comprimido de 60 mg AZT/30 mg 3TC
3 a 5 kg                                               1 cp x 2
6 a 9 kg                                              1 1/2 cp x 2
10 a 13 kg                                          2 cp x 2
14 a 19 kg                                         2 1/2 cp x 2
20 a 24 kg                                          3 cp x 2
Niños ? 25 kg y adultos: un comprimido de 300 mg AZT/150 mg 3TC, dos veces al día";según la eficacia y la tolerancia del tratamiento;"No administrar en caso de trastornos hematológicos severos (neutropenia, anemia). 
- Puede provocar: 
• efectos secundarios comunes a los 2 antiretrovirales: trastornos digestivos; 
• efectos secundarios debidos a la zidovudina: ver zidovudina; • efectos secundarios debidos a la lamivudina: ver lamivudina. 
- No asociar con stavudina. 
- Embarazo: sin contraindicaciones 
";Conservación: temperatura inferior a 30°C ;;;
ZIDOVUDINA + LAMIVUDINA + NEVIRAPINA;Combinación de 3 antiretrovirales ;Infección por el VIH-1 ;"Comprimido dispersable de 60 mg de AZT/30 mg de 3TC/50 mg de NVP 
- Comprimido de 300 mg de AZT/150 mg de 3TC/200 mg de NVP 
";"[Prescripción bajo control médico]
Niños de menos de 25 kg: ver tabla a continuación                                               Peso                                     Comprimido de 60 mg AZT/30 mg 3TC
3 a 5 kg                                               1 cp x 2
6 a 9 kg                                              1 1/2 cp x 2
10 a 13 kg                                          2 cp x 2
14 a 19 kg                                         2 1/2 cp x 2
20 a 24 kg                                          3 cp x 2Peso 
Niños ? 25 kg y adultos: un comprimido de 300 mg AZT/150 mg 3TC/200 mg NVP, dos veces al día.";según la eficacia y la tolerancia del tratamiento;"N o a d m i n i s t r a r e n c a s o d e t r a s t o r n o s h e m a t o l ó g i c o s s e v e ro s ( n e u t ro p e n i a , a n e m i a ) , 
alteración de la función hepática y en pacientes cuya intolerancia a la nevirapina haya obligado a la suspensión del tratamiento. 
- Puede provocar: 
• efectos secundarios comunes a los 3 antiretrovirales: trastornos digestivos ; 
• efectos secundarios debidos a la zidovudina: ver zidovudina; • efectos secundarios debidos a la lamivudina: ver lamivudina; 
• efectos secundarios debidos a la nevirapina: ver nevirapina. 
- Controlar, si es possible, las enzimas hepáticas (ALT) durante los primeros 2 meses y luego 
cada 6 meses. En caso de elevación superior a 5 veces el limite superior de la normalidad, suspender la nevirapina. 
- La nevirapina reduce la eficacia de los contraceptivos orales: utilizar un contraceptivo no 
hormonal o la medroxiprogesterona inyectable o un contraceptivo oral que contenga 50 µg de etinilestradiol por comprimido. 
- No asociar con stavudina o rifampicina. 
- Embarazo: sin contraindicaciones 
";"P a r a s u b u e n a t o l e r a n c i a , a d m i n i s t r a r l a N V P a m i t a d d e d o s i s d u r a n t e l o s p r i m e ro s 
14 días de tratamiento. Por lo tanto, empezar la triterapia combinando la coformulación AZT/3TC (Avocomb®, Combivir®, Duovir®) por un lado y NVP sola (Neravir®, Nevimune®, Viramune®) por otro lado. Tras la pauta inicial de 14 días, continuar con la coformulación AZT/3TC/NVP. 
- Conservación: temperatura inferior a 30°C 
";;;
QUININA ;Antipalúdico ;Tratamiento del paludismo grave por P. falciparum ;"Ampolla de 600 mg (300 mg/ml, 2 ml) de diclorhidrato de quinina, para diluir en una 
solución de glucosa al 5%, para perfusión lenta. NUNCA EN IV DIRECTA. 
";"[Prescripción bajo control médico]
La posología esta expresada en sal de quinina; es la misma sea cual sea la sal (diclorhidrato o 
formiato): 
- Niños y adultos: 
• dosis de carga: 20 mg/kg administrados en 4 horas, seguidos de una perfusión de 
glucosa al 5% (guarda vena) durante 4 horas 
• dosis de mantenimiento: 8 horas después del inicio de la dosis de carga, 10 mg/kg cada 
8 horas (alternar 4 horas de quinina y 4 horas de glucosa al 5%) 
En adultos, administrar cada dosis de quinina en 250 ml. En niños de menos de 20 kg, administrar cada dosis de quinina a un volumen de 10 ml/kg. 
No administrar la dosis de carga si el paciente ya ha recibido quinina oral, mefloquina o 
halofantrina en las 24 horas previas : empezar directamente con la dosis de mantenimiento. 
";"Hasta que sea posible la administración por vía oral. Continuar con quinina oral hasta 
completar 7 días de tratamiento o con una combinación terapéutica a base de arteminisina (no utilizar la combinación artesunato-mefloquina si el paciente ha desarrollado signos neurológicos durante la fase aguda). 
";"Puede provocar: hipoglucemia; trastornos auditivos, visuales y cardiacos (sobre todo en 
caso de sobredosificación), reacciones de hipersensibilidad, depresión cardiaca en caso de inyección IV directa no diluida. 
- E n p a c i e n t e s c o n f a l l o re n a l a g u d o , re d u c i r l a d o s i s e n u n t e rc i o s i e l t r a t a m i e n t o 
parenteral dura más de 48 horas. 
- Controlar la glucemia (tira reactiva). 
- No asociar con cloroquina o halofantrina. 
- N o a d m i n i s t r a r s i m u l t á n e a m e n t e c o n m e f l o q u i n a ( r i e s g o d e c o n v u l s i o n e s , c a rd i o - 
toxicidad). Dejar un intervalo de 12 horas entre la última dosis de quinina y la administración de mefloquina. 
- Embarazo: sin contraindicaciones. El riesgo de hipoglucemia debido a la quinina es muy elevado en 
mujeres embarazadas. 
- Lactancia: sin contraindicaciones 
";"10 mg de diclorhidrato de quinina = 8 mg de quinina base. 
- Si no es posible la administración en perfusión (p.ej. antes de un traslado), se puede 
administrar la quinina por vía IM (parte anterolateral del muslo únicamente), pero expone a numerosas complicaciones. La posología es la misma que para la vía IV, la quinina debe ser diluida (1/2 a 1/5). La dosis de carga deber ser distribuida en los 2 muslos. 
- En algunas regiones del sudeste asiático, se administra quinina junto con doxiciclina o 
clindamicina, debido a la disminución de la sensibilidad de P. falciparum a la quinina. 
- Conservación: temperatura inferior a 30°C -
[Medicamento particularmente sensible a la luz]
";;;
TIAMINA;Vitamina;"Tratamiento inicial de las carencias severas de tiamina: formas agudas severas de beriberi, 
compliciones neurológicas del alcoholismo crónico (polineuropatía severa, encefalopatía 
de Wernicke, síndrome de Korsakoff) 
";Ampolla de 100mg de clohidrato de tiamina (50 mg/ml, 2ml) para inyección IM o IV muy lenta ;"Beriberi infantil 
25 mg IV seguidos de 25 mg IM una o dos veces al día; pasar a la vía oral (10 mg/día) lo antes posible en cuanto los síntomas mejoran. 
- Beriberi agudo 
50 mg en una inyección IM y pasar a la vía oral (150 mg/día divididos en en 3 tomas hasta 
que los síntomas mejoren, seguidos de 10 mg/día en una toma) 
o, segun la gravedad, 150 mg/día divididos en 3 inyecciones IM durante algunos días y 
pasar a la vía oral (10 mg/día en una toma) 
- Encefalopatía de Wernicke, síndrome de Korsakoff 
250 mg/día en una inyección IV hasta que el paciente pueda seguir el tratamiento oral. En las primeras 12 horas pueden ser necesarias dosis más elevadas. 
";;"Puede provocar: hipotensión arterial; reacciones anafilácticas, en particular en los casos de 
inyección IV (inyectar muy lentamente, en 30 minutos). 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"La tiamina se llama también aneurina. 
- La tiamina inyectable no forma parte de la lista de medicamentos esenciales de la OMS. 
- Conservación: [Medicamento particularmente sensible a la luz]
";VITAMINA B1;;
TRAMADOL  ;"Analgésico de acción central (opiáceo débil, inhibidor de la recaptación de serotonina- 
noradrenalina) 
";Dolor agudo moderado ;Ampolla de 100 mg (50 mg/ml, 2 ml) para inyección SC, IM, IV lenta o perfusión ;"[Prescripción bajo control médico]
Niños mayores de 6 meses: 2 mg/kg/inyección cada 6 horas 
- Adultos: 50 a 100 mg/inyección cada 4 a 6 horas, sin sobrepasar 600 mg/día 
";pasar a la vía oral lo antes posible. ;"No administrar en caso de insuficiencia respiratoria severa y en pacientes con posibilidad 
de convulsionar (p.ej. epilepsia, trauma craneal, meningitis). 
- Puede provocar: 
• vértigo, náuseas, vómitos, somnolencia, sequedad de boca, sudoración; 
• raramente: reacciones alérgicas, convulsiones, confusión; 
• excepcionalmente: síndrome de abstinencia; depresión respiratoria en caso de sobredosis. 
- No asociar con los morfínicos, codeina incluida. 
- E v i t a r l a a s o c i a c i ó n c o n c a r b a m a z e p i n a , f l u o x e t i n a , c l o r p ro m a z i n a , p ro m e t a z i n a , 
clomipramina, haloperidol, digoxina. 
- Reducir la posología (1 mg/kg) y aumentar el intervalo entre las tomas (cada 12 horas) en 
ancianos o en caso de insuficiencia hepática o renal severa (riesgo de acumulación). 
- En caso de administración IV, para limitar los efectos indeseables, preferir la 
administración en perfusión durante 20-30 minutos a la vía IV directa. 
- Embarazo y lactancia: sin contraindicaciones. Los efectos indeseables del tramadol (somnolencia) 
pueden presentarse en el niño cuando se trata a la madre al final del tercer trimestre y durante la 
lactancia. En estas situaciones, administrar con precaución durante el menor tiempo posible, con la menor dosis eficaz y vigilando al niño. 

";"La potencia analgésica del tramadol es alrededor de 10 veces inferior al de la morfina. 
- En algunos países, el tramadol está incluido en la lista de estupefacientes: ajustarse a la 
reglamentación nacional. 
- Conservación: [Medicamento particularmente sensible a la luz]";;;
Cloruro de SODIO ;;"Vehículo de perfusión 
- Llenado vascular 
";"Solución isotónica de cloruro de sodio (0,9 g por 100 ml) para perfusión 
- Contenido en iones: sodio (Na+): 150 mmol por litro (150 mEq) 
cloruro (Cl-): 150 mmol por litro (150 mEq) 
- Frascos o bolsas de plástico de 250 ml y 1000 ml 
";;;"Utilizar con precaución en caso de hipertensión, insuficiencia cardiaca, edema, ascitis  3
(cirrosis), insuficiencia renal y toda patología asociada a una retención de sodio. 
- Puede provocar: edema pulmonar en caso de perfusión demasiado rápida o excesiva. 
- No utilizar para la administración de amfotericina B (incompatibilidad): utilizar 
únicamente el glucosa al 5% como vehículo de perfusión. 

";"En la corrección de hipovolemias debidas a hemorragia, perfundir 3 veces el volumen 
perdido solamente si: 
• el volumen perdido es inferior o igual a 1500 ml en adultos, • las funciones cardiaca y renal son normales. 
- El cloruro de sodio al 0,9% puede utilizarse también para prevenir la hipotensión asociada 
a la raquianestesia. 
- Esta solución no contiene ni potasio, ni lactato. Para la deshidratación severa, utilizar el 
Ringer lactato. Si no se dispone de Ringer lactato, utilizar una solución de glucosa al 5% añadiéndole KCl (2 g/litro) + NaCl (4 g/litro). 
- Para uso externo: la solución estéril de cloruro de sodio al 0,9% se utiliza para la limpieza 
de heridas, la irrigación de heridas, la limpieza de ojos (conjuntivitis, irrigaciones oculares), el lavado nasal en caso de taponamiento, etc. 
- Conservación: temperatura inferior a 30ºC 
";;;
"VACUNA ANTIDIFTERIA, ANTITÉTANOS
ANTITOSFERINA (DTP) 
";;"Prevención de la difteria, del tétanos y de la tos ferina en el niño de menos de 7 años 
(primovacunación) 
";"Vacuna trivalente que contiene los toxoides diftérico y tetánico y la vacuna contra la tos 
ferina de células enteras (DTwP) o acelular (DTaP). 
- Suspensión para inyección en vial multidosis, para inyección IM en la parte anterolateral 
del muslo 
";"Niños: 0,5 ml/inyección 
- 3 dosis a intervalos de 4 semanas antes del año de edad. Se recomienda administrar la 
primera dosis a partir de las 6 semanas de edad, la segunda a las 10 semanas, la tercera a las 14 semanas. Si el niño no ha recibido el DTP a las 6 semanas de edad, empezar la vacunación lo antes posible. 
- Para las dosis de recuerdo, utilizar la vacuna DTP, DT o Td según la edad. 
";;"N o a d m i n i s t r a r e n c a s o d e re a c c i ó n g r a v e t r a s u n a i n y e c c i ó n d e D T P o e n f e r m e d a d 
n e u ro l ó g i c a e v o l u t i v a ( e n c e f a l o p a t í a , e p i l e p s i a n o c o n t ro l a d a ) : e n l o s d o s c a s o s , administrar la vacuna DT. 
- Posponer la vacunación en caso de infección febril aguda severa; una infección leve no se 
considera como contraindicación. - No administrar en el glúteo. 
- Puede provocar: 
• reacciones locales benignas en el lugar de inyección: induración, enrojecimiento, dolor; 
• reacciones generalizadas: fiebre en las 24 horas siguiente a la vacunación; • raramente: reacciones anafilacticas, convulsiones. 
- Respetar un intervalo de 4 semanas entre cada dosis. 
- Agitar antes de usar para poner la vacuna en suspensión. 
- No mezclar con otras vacunas en la misma jeringa (inactivación de las vacunas). 
- En caso de administración simultánea con las vacunas del PAI, utilizar otra jeringa y otro 
sitio de inyección. 
";"Si la vacunación ha sido interrumpida antes de haber podido administrar la totalidad de 
l a s d o s i s n e c e s a r i a s , n o e s n e c e s a r i o e m p e z a r d e n u e v o e l p ro t o c o l o d e s d e e l i n i c i o . Retomar la vacunación en el estadio donde ha sido interrumpida y completar según el calendario vacunal en vigor. 
- Existen 2 vacunas bivalentes que combinan los toxoides diftérico y tetánico: 
• vacuna difteria-tétanos (DT), utilizada como recuerdo en niños < 7 años o en los casos 
e n q u e l a v a c u n a c o n t r a l a t o s f e r i n a e s t á c o n t r a i n d i c a d a , o e n c a s o d e re a c c i ó n 
importante tras una inyección de DTP; 
• vacuna tétanos-difteria (Td) de concentración reducida de toxoide diftérico, utilizada para 
la primovacunación o las dosis de recuerdo en niños ? 7 años, adolescentes y adultos. 
- Existe también una vacuna tetravalente contra la difteria, el tétanos, la tos ferina y la 
hepatitis B. 
- Existe también una vacuna pentavalente contra la difteria, el tétanos, la tos ferina, la 
hepatitis B y Haemophilus influenzae. 
- Conservación: entre 2ºC y 8ºC. No congelar. [Medicamento particularmente sensible a la luz]";;;
VACUNA ANTIHEPATITIS B ;;Prevención de la hepatitis B ;"Existen 2 tipos de vacuna: vacuna recombinante adsorbida (Engerix B®, GenHevac B®, 
HBvaxpro®, etc.) y vacuna derivada del plasma humano (Heptavax®, etc.) 
- Solución para inyección en jeringa monodosis o vial multidosis, para inyección IM en el 
músculo deltoide (en la parte anterolateral del muslo en niños menores de 2 años) 
";"La posología varía según la edad y la vacuna utilizada: referirse a las instrucciones del 
fabricante. 
- Pauta estándar 
• Recién nacidos, niños lactantes: 
En regiones donde la probabilidad de transmisión perinatal es alta: una dosis al nacer y 
a las 6 y 14 semanas de edad 
Si la probabilidad de transmisión perinatal es baja: una dosis a las 6, 10 y 14 semanas de 
edad 
• Niños, adolescentes, adultos: 
Pauta 0-1-6: 2 dosis a un intervalo de 4 semanas, seguidas de una 3ª dosis 5 meses 
después de la 2ª dosis 
- Pauta acelerada en 4 dosis, cuando se requiere una protección rápida (salida urgente a una zona 
endémica, profilaxis postexposición) 
• pauta D0-D7-D21: 3 dosis administradas en el mismo mes, seguidas de una 4ª dosis un 
año después de la 1ª dosis 
• pauta 0-1-2-12: 3 dosis a intervalos de 4 semanas, seguidas de una 4ª dosis 1 año 
después de la 1ª dosis 
";;"No administrar en caso de hipersensibilidad a uno de los componentes, reacción alérgica 
tras la administración de una primera dosis. Posponer la vacunación en caso de infección febril aguda severa; una infección leve no se considera como contraindicación. 
- No administrar en el glúteo (respuesta inmunitaria disminuida). 
- En caso de esclerosis múltiple, evaluar la relación riesgo-beneficio de la vacunación. 
- Puede provocar: 
• reacciones locales o generalizadas benignas (dolor o eritema en el lugar de inyección, 
fiebre, cefaleas, mialgias, etc.), 
• m u y r a r a m e n t e : re a c c i o n e s a n a f i l á c t i c a s , e n f e r m e d a d d e l s u e ro , l i n f o a d e n o p a t í a , 
neuropatía periférica. 
- Agitar antes de usar para poner la vacuna en suspensión. 
- No mezclar con otras vacunas en la misma jeringa (inactivación de las vacunas). 
- En caso de administración simultánea con las vacunas del PAI, utilizar otra jeringa y otro 
sitio de inyección. 
- Embarazo: no administrar excepto si existe un riesgo de contagio elevado 
- Lactancia: sin contraindicaciones 
";"La inmunidad aparece entre 1 y 2 meses tras la 3ª dosis. La eficacia de la vacuna es > 80%. 
- Si la vacunación ha sido interrumpida antes de haber podido administrar la totalidad de 
l a s d o s i s n e c e s a r i a s , n o e s n e c e s a r i o e m p e z a r d e n u e v o e l p ro t o c o l o d e s d e e l i n i c i o . Retomar la vacunación en el estadio donde ha sido interrumpida y completar según el calendario vacunal en vigor. 
- La vía SC se puede utilizar pero únicamente si la vía IM está contraindicada. - Conservación: entre 2ºC y 8ºC. No congelar. 
[Medicamento particularmente sensible a la luz]";;;
VACUNA ANTIMENINGOCÓCICA A + C ;;"Prevención de la meningitis por meningococos A y C: 
• en vacunación masiva en caso de epidemia por meningococo A o C 
• en personas que residan más de un mes en zonas hiperendémicas 
";"Vacuna bacteriana inactivada, polisacarídica 
- Polvo para inyección en vial monodosis o multidosis, para reconstituir con la totalidad del 
diluyente suministrado con la vacuna, para inyección SC profunda o IM, en el músculo d e l t o i d e o l a p a r t e a n t e ro l a t e r a l d e l m u s l o e n n i ñ o s ( c o n s u l t a r l a s i n s t r u c c i o n e s d e l 
fabricante) 
";Niños a partir de 2 años y adultos: 0,5 ml dosis única ;;"No administrar en caso de reacción alérgica a dosis anterior de vacuna antimeningocócica. 
- Posponer la vacunación en caso de infección febril aguda severa; una infección leve no se 
considera como contraindicación. 
- Puede provocar: reacciones locales benignas, fiebre moderada. 
- No mezclar con otras vacunas en la misma jeringa (inactivación de las vacunas). 
- En caso de administración simultánea con las vacunas del PAI, utilizar otra jeringa y otro 
sitio de inyección. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"La inmunidad aparece entre 7 y 10 días tras la inyección y persiste durante ± 3 años. 
- Conservación: 
[Medicamento particularmente sensible a la luz]
• Polvo: entre 2ºC y 8ºC. 
• Diluyente: el diluyente no necesita cadena de frío para su conservación. Sin embargo, poner el 
diluyente entre 2ºC y 8ºC, al menos 12 horas antes de reconstituir la vacuna, para que diluyente y polvo estén a la misma temperatura: el choque térmico en el momento de su reconstitución afectaría la eficacia de la vacuna. No congelar. 
• Vacuna reconstituida: entre 2ºC y 8ºC, durante 6 horas como máximo. 
";;;
VACUNA ANTIMENINGOCÓCICA A + C + W135 ;;"Prevención de la meningitis por meningococos A, C y W135: 
• en vacunación masiva en caso de epidemia por meningococo A, C o W135 
• en personas que residan más de un mes en zonas hiperendémicas 
";"Vacuna bacteriana inactivada, polisacarídica 
- Polvo para inyección en vial multidosis, para reconstituir con la totalidad del diluyente 
suministrado con la vacuna, para inyección SC únicamente 

";Niños a partir de 2 años y adultos: 0,5 ml dosis única ;;"No administrar en caso de reacción alérgica a dosis anterior de vacuna antimeningocócica. 
- Posponer la vacunación en caso de infección febril aguda severa; una infección leve no se 
considera como contraindicación. 
- Puede provocar: reacciones locales benignas, fiebre moderada. 
- No mezclar con otras vacunas en la misma jeringa (inactivación de las vacunas). 
- En caso de administración simultánea con las vacunas del PAI, utilizar otra jeringa y otro 
sitio de inyección. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"La inmunidad aparece entre 7 y 10 días tras la inyección y persiste durante ± 3 años. 
- Conservación:
[Medicamento particularmente sensible a la luz]
• Polvo: entre 2ºC y 8ºC. 
• Diluyente: el diluyente no necesita cadena de frío para su conservación. Sin embargo, poner el 
diluyente entre 2ºC y 8ºC, al menos 12 horas antes de reconstituir la vacuna, para que diluyente y polvo estén a la misma temperatura: el choque térmico en el momento de su reconstitución afectaría la eficacia de la vacuna. No congelar. 
• Vacuna reconstituida: entre 2ºC y 8ºC, durante 6 horas como maximo. 

";;;
VACUNA ANTIPOLIOMIELÍTICA ORAL (VPO) ;;Prevención de la poliomielitis ;"Vacuna de virus vivo atenuado, trivalente (poliovirus tipos 1, 2 y 3) 
- Suspensión oral en vial multidosis, para administrar sobre la lengua, con un cuenta-gotas 

";"Una dosis corresponde a 2-3 gotas según el fabricante. 
• fuera de zonas endémicas, administrar 3 dosis a intervalos de 4 semanas: a las 6, 10 y 
14 semanas de edad 
• dentro de zonas endémicas, administrar 4 dosis a intervalos de 4 semanas: al nacer y a las 
6, 10 y 14 semanas de edad 
";;"Sin contraindicaciones. 
- Posponer la vacunación en caso de infección febril aguda severa; una infección leve no se 
considera como contraindicación. 
- Si el niño padece diarrea en el momento de la vacunación, administrar la dosis requerida y 
añadir una dosis suplementaria después de 4 semanas. 
- Puede provocar (excepcionalmente): poliomielitis paralítica, encefalopatía. - Respetar un intervalo de 4 semanas entre cada dosis. 
- E m b a r a z o : C O N T R A I N D I C A D O d u r a n t e e l 1 e r t r i m e s t re , e x c e p t o s i e x i s t e u n r i e s g o d e c o n t a g i o 
elevado. 
- Lactancia: sin contraindicaciones 

";"La inmunidad persiste durante al menos 5 años después de 3 dosis. 
- Conservación: entre 2ºC y 8ºC. Para una conservación prolongada: en congelador (-20ºC). [Medicamento particularmente sensible a la luz] 
";;;
