id;certificado;cuit;laboratorio;gtin;troquel;comercial;forma;generico;pais;expendio;trazabilidad;presentacion;precio;es_hospitalario
194.426;47380;30709724912;Biogen Idec;07798144380036;539571-2;Avonex;Solucion Inyectable;Interferon Beta 1A 30 Mcg / 0.5 Ml;;Bajo Receta Archivada;3683/11;Jeringa Prellenada Por 30 Mcg / 0.5 Ml Corresponde A Presentación Jeringa Prellenada En Cartucho Precargado;41561,81;0
32.018;56459;30649364040;Bioprofarma S.A.;07798021440129;613026;Xitabin;Comprimido Recubierto;Capecitabina 500 Mg;;Bajo Receta Archivada;3683/11;Envase Por 120 Unidades;9359,46;0
161.683;45432;30649364040;Bioprofarma S.A.;07798021442888;422725;Panataxel;Solucion Inyectable;Paclitaxel 30 Mg / 5 Ml;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 30 Mg / 5 Ml;1441,14;0
135.739;49945;30649364040;Bioprofarma S.A.;07798021440167;501777;Eritrogen;Solucion Inyectable;Eritropoyetina Humana Recombinante 2000 Ui;;Bajo Receta;1831/12 Anexo;50 Frasco Ampolla Por 2000 Ui Eritropoyetina;8906,28;0
55.938;44086;30649364040;Bioprofarma S.A.;07792371068101;;Vesanoid;Capsula Blanda;Tretinoina 10 Mg;Alemania (Republica Federal De Alemania);Bajo Receta Archivada;Fuera de disposición;Envase Por 100 Unidades;2488,32;0
56.638;48403;30649364040;Bioprofarma S.A.;07798021442840;468307;Mitotie;Polvo Liofilizado Para Inyectable;Mitomicina 20 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 20 Mg De Mitomicina;2135,25;0
56.706;48330;30649364040;Bioprofarma S.A.;07798021442864;467490;Oxaltie;Polvo Liofilizado Para Inyectable;Oxaliplatino 50 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 50 Mg;2794,71;0
56.709;48330;30649364040;Bioprofarma S.A.;07798021442871;467507;Oxaltie;Polvo Liofilizado Para Inyectable;Oxaliplatino 100 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 100 Mg;5503,45;0
57.666;48471;30649364040;Bioprofarma S.A.;;471194;Vinorgen;Solucion Inyectable;Vinorelbine (Ditartrato) 10 Mg / Ml;;Bajo Receta Archivada;Fuera de disposición;1 Frasco Ampolla Por 10 Mg / Ml;371,27;0
57.667;48471;30649364040;Bioprofarma S.A.;;471201;Vinorgen;Solucion Inyectable;Vinorelbine (Ditartrato) 50 Mg / 5 Ml;;Bajo Receta Archivada;Fuera de disposición;1 Frasco Ampolla Por 50 Mg / 5 Ml;784,68;0
57.721;45715;30649364040;Bioprofarma S.A.;07798021442482;452566;Androstat;Comprimido;Ciproterona Acetato 50 Mg;;Bajo Receta Archivada;1831/12 Anexo;Blister Por 50 Unidades;1109,52;0
44.302;51124;30649364040;Bioprofarma S.A.;07798021441874;519558;Targretin;Capsula Blanda;Bexarotene 75 Mg;Estados Unidos (Estados Unidos De America);Bajo Receta;1831/12 Anexo;1 Frasco Por 100 Unidades;53897,61;0
45.147;48500;30649364040;Bioprofarma S.A.;07798021442826;471186;Irinogen;Solucion Inyectable;Irinotecan Clorhidrato 100 Mg / 5 Ml;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 100 Mg / 5 Ml;4194,2;0
49.324;48107;30649364040;Bioprofarma S.A.;07798021442741;463878;Ilgen-2;Polvo Liofilizado Para Inyectable;Interleukina -2- Recombinante 18000000 Ui;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 1,1 Mg;4129,81;0
50.509;30412;30649364040;Bioprofarma S.A.;;067729;Cosmegen;Polvo Liofilizado Para Inyectable;Dactinomicina 500 Mcg;Alemania (Republica Federal De Alemania);Bajo Receta Archivada;Fuera de disposición;1 Frasco Ampolla Por 500 Mcg Dactinomicina;1447,83;0
166.182;45432;30649364040;Bioprofarma S.A.;07798021442918;462929;Panataxel;Solucion Inyectable;Paclitaxel 150 Mg / 25 Ml;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 150 Mg / 25 Ml;7113,64;0
66.707;38535;30649364040;Bioprofarma S.A.;07798021442857;301151;Mitoxgen;Solucion Inyectable;Mitoxantrona 20 Mg;;Bajo Receta Archivada;Fuera de disposición;1 Frasco Ampolla Por 10 Ml;554,9;0
54.375;48205;30649364040;Bioprofarma S.A.;07798021442536;488777;Donataxel;Solucion Inyectable;+ Docetaxel Anhidro 20 Mg;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 20 Mg + Frasco Ampolla De Solvente Por 1.83 Ml;1884,16;0
54.377;48205;30649364040;Bioprofarma S.A.;07798021442543;488785;Donataxel;Solucion Inyectable;+ Docetaxel Anhidro 80 Mg / Frasco Ampolla;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 80 Mg + Frasco Ampolla De Solvente Por 7.32 Ml;7371,87;0
117.271;55535;30649364040;Bioprofarma S.A.;07798021443571;595355;Gembio;Polvo Liofilizado Para Inyectable;Gemcitabina (Como Clorhidrato) 200 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 200 Mg;870,7;0
117.272;55535;30649364040;Bioprofarma S.A.;07798021443588;595368;Gembio;Polvo Liofilizado Para Inyectable;Gemcitabina (Como Clorhidrato) 1 G;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 1 G;4016,03;0
118.593;49074;30649364040;Bioprofarma S.A.;07798021442673;;Filgen;Solucion Inyectable;Filgrastim (R.Hu-Met-G-Csf) 300 Mcg / Ml;;Bajo Receta Archivada;1831/12 Anexo;5 Envase Por 300 Mcg / Ml Frasco Ampolla;2496,75;0
118.598;49074;30649364040;Bioprofarma S.A.;07798021440181;;Filgen;Solucion Inyectable;Filgrastim (R.Hu-Met-G-Csf) 300 Mcg / Ml;;Bajo Receta Archivada;1831/12 Anexo;5 Envase Por 300 Mcg / Ml Jeringa Prellenada;3151,58;0
118.596;49074;30649364040;Bioprofarma S.A.;07798021442659;;Filgen;Solucion Inyectable;Filgrastim (R.Hu-Met-G-Csf) 300 Mcg / Ml;;Bajo Receta Archivada;1831/12 Anexo;1 Envase Por 300 Mcg / Ml Jeringa Prellenada;663,5;0
118.587;49074;30649364040;Bioprofarma S.A.;07798021442666;;Filgen;Solucion Inyectable;Filgrastim (R.Hu-Met-G-Csf) 300 Mcg / Ml;;Bajo Receta Archivada;1831/12 Anexo;1 Envase Por 300 Mcg / Ml Frasco Ampolla;522,41;0
118.606;49074;30649364040;Bioprofarma S.A.;07798021442680;;Filgen;Solucion Inyectable;Filgrastim (R.Hu-Met-G-Csf) 480 Mcg / Ml;;Bajo Receta Archivada;1831/12 Anexo;Frasco Ampolla Por 0 Unidades // 1 Jeringa De Vidrio Neutro Incoloro Prellenado Por 480 Mcg / Ml De Filgrastim;900,82;0
118.601;49074;30649364040;Bioprofarma S.A.;07798021442697;;Filgen;Solucion Inyectable;Filgrastim (R.Hu-Met-G-Csf) 480 Mcg / Ml;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 480 Mcg / Ml De Filgrastim;724,46;0
92.942;45993;30649364040;Bioprofarma S.A.;07798021442499;423137;Bidrostat;Comprimido Recubierto;Bicalutamida 50 Mg;;Bajo Receta Archivada;1831/12 Anexo;Blister Por 28 Unidades;1091,52;0
171.732;40139;30649364040;Bioprofarma S.A.;;335324;Flutrax;Comprimido;Flutamida 250 Mg;;Bajo Receta;Fuera de disposición;Blister Por 60 Unidades;292,35;0
79.696;38812;30649364040;Bioprofarma S.A.;;338427;Vp-Gen;Solucion Inyectable;Etoposido 100 Mg / 5 Ml;;Bajo Receta;Fuera de disposición;Frasco Ampolla Por 1 Unidad;222,29;0
155.269;49945;30649364040;Bioprofarma S.A.;07798021440174;501782;Eritrogen;Solucion Inyectable;Eritropoyetina Humana Recombinante 4000 Ui;;Bajo Receta;1831/12 Anexo;50 Frasco Ampolla Por 4000 Ui Eritropoyetina;16506,42;0
184.836;49945;30649364040;Bioprofarma S.A.;07798021442598;501782;Eritrogen;Solucion Inyectable;Eritropoyetina Humana Recombinante 4000 Ui;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 4000 Ui Eritropoyetina;358,84;0
164.556;49945;30649364040;Bioprofarma S.A.;07798021442604;501798;Eritrogen;Solucion Inyectable;Eritropoyetina Humana Recombinante 10000 Ui;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 10000 Ui Eritropoyetina;782,53;0
164.559;36929;30649364040;Bioprofarma S.A.;07798021443540;280925;Kidrolase;Polvo Liofilizado Para Inyectable;L-Asparaginasa 10000 Ui;Belgica (Reino De Belgica);Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 10 Ui;2358,27;0
166.181;45432;30649364040;Bioprofarma S.A.;07798021442901;462911;Panataxel;Solucion Inyectable;Paclitaxel 100 Mg / 17 Ml;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 100 Mg / 17 Ml;5146,89;0
166.183;45432;30649364040;Bioprofarma S.A.;07798021442925;462937;Panataxel;Solucion Inyectable;Paclitaxel 300 Mg / 50 Ml;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 300 Mg / 50 Ml Con Set De Infusión;15331,33;0
148.023;34749;30649364040;Bioprofarma S.A.;07798021442567;338584;Doxtie;Polvo Para Inyectable;Doxorubicina Clorhidrato 50 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 50 Mg;479,39;0
149.814;56390;30649364040;Bioprofarma S.A.;07798021440099;611600;Inaro;Capsula Dura;Anagrelida ,5 Mg;;Bajo Receta;1831/12 Anexo;Blister Por 100 Unidades;2546,31;0
150.008;56067;30649364040;Bioprofarma S.A.;07798021440075;604339;Erwinase;Polvo Liofilizado Para Inyectable;Crisantaspasa (Erwinia L-Asparaginasa) 10000 Ui;Inglaterra;Bajo Receta Archivada;1831/12 Anexo;5 Frasco Ampolla Por 10000 Ui;60652,66;0
150.881;56794;30649364040;Bioprofarma S.A.;07798021440150;619000;Sukuba;Polvo Liofilizado Para Inyectable;Pemetrexed (Como Disodico Hemipentahidrato) 500 Mg;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 500 Mg;22439,93;0
197.489;57482;30649364040;Bioprofarma S.A.;07798021440266;631039;Signum;Polvo Liofilizado Para Inyectable;Decitabina 50 Mg;;Bajo Receta Archivada;3683/11;1 Envase Por 50 Mg De Decitabina;50235,74;0
152.611;57195;30649364040;Bioprofarma S.A.;07798021440228;624997;Clinid;Comprimido Recubierto;Imatinib 100 Mg;;Bajo Receta Archivada;3683/11;Blister Por 180 Unidades;52353,99;1
152.614;57195;30649364040;Bioprofarma S.A.;07798021440235;625000;Clinid;Comprimido Recubierto;Imatinib 400 Mg;;Bajo Receta Archivada;3683/11;Blister Por 30 Unidades;35510,78;0
153.058;57025;30649364040;Bioprofarma S.A.;07798021440204;622097;Benzimir;Polvo Liofilizado Para Inyectable;Bendamustina Clorhidrato 25 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 25 Mg;4570,6;0
153.062;57025;30649364040;Bioprofarma S.A.;07798021440211;622100;Benzimir;Polvo Liofilizado Para Inyectable;Bendamustina Clorhidrato 100 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 100 Mg;18139,6;0
142.758;56380;30649364040;Bioprofarma S.A.;07798021440136;;Actiluzol;Comprimido Recubierto;Riluzol 50 Mg;;Bajo Receta;3683/11;Blister Por 60 Unidades;6920,24;0
197.485;57356;30649364040;Bioprofarma S.A.;07798021440242;628171;Maturus;Polvo Liofilizado Para Inyectable;Azacitidina 100 Mg;;Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 100 Mg De Azacitidina;20167,42;0
200.202;57508;30649364040;Bioprofarma S.A.;07798021440310;631897;Dapibus;Comprimido Recubierto;Dasatinib 50 Mg;;Bajo Receta Archivada;3683/11;1 Frasco Por 60 Unidades;45706;0
200.203;57508;30649364040;Bioprofarma S.A.;07798021440303;631913;Dapibus;Comprimido Recubierto;Dasatinib 100 Mg;;Bajo Receta Archivada;3683/11;1 Frasco Por 30 Unidades;45706;0
169.862;38695;30649364040;Bioprofarma S.A.;07798021442512;306036;Carboxtie;Polvo Liofilizado Para Inyectable;Carboplatino 150 Mg;;Bajo Receta Archivada;1831/12 Anexo;1 Frasco Ampolla Por 150 Mg;1267,18;0
169.867;55604;30649364040;Bioprofarma S.A.;07798021440020;596455;Idelara;Comprimido Recubierto;Letrozol 2,5 Mg;;Bajo Receta Archivada;1831/12 Anexo;Blister Por 30 Unidades;1988,14;0
169.872;54415;30649364040;Bioprofarma S.A.;07798021443564;579997;Sinresor;Polvo Liofilizado Para Inyectable;Acido Zoledronico 4 Mg +;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 4 Mg De Acido Zoledronico + 1 Ampolla De Solvente Por 5 Ml;4028,6;0
169.960;48083;30649364040;Bioprofarma S.A.;07798021442772;462854;Inf;Polvo Liofilizado Para Inyectable;Interferon Alfa.2B 5 Mill. Ui;;Bajo Receta;3683/11;Frasco Ampolla Por 1 Unidad;196,44;0
137.817;48083;30649364040;Bioprofarma S.A.;07798021442765;;Inf;Polvo Liofilizado Para Inyectable;Interferon Alfa.2B 3 Mill. Ui;;Bajo Receta;3683/11;Frasco Ampolla Por 1 Unidad;119,11;0
137.816;48083;30649364040;Bioprofarma S.A.;07798021442789;;Inf;Polvo Liofilizado Para Inyectable;Interferon Alfa.2B 10 Mill. Ui;;Bajo Receta;3683/11;Frasco Ampolla Por 1 Unidad;327,45;0
159.984;3662;30649364040;Bioprofarma S.A.;;298077;Tamoxis;Comprimido;Tamoxifeno 20 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;90,52;0
171.736;49945;30649364040;Bioprofarma S.A.;07798021442581;501777;Eritrogen;Solucion Inyectable;Eritropoyetina Humana Recombinante 2000 Ui;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 2000 Ui Eritropoyetina;193,61;0
21.649;38777;30598117094;Biosidus Sociedad Anonima;07795355998128;510885;Hemax 3000 Ui;Polvo Liofilizado Para Inyectable;Eritropoyetina 3000 Ui / 2 Ml +;;Bajo Receta;1831/12 Anexo;25 Frasco Ampolla Por 3000 Ui + 25 Ampolla Diluyente Por 2 Ml;3244,55;0
29.494;38777;30598117094;Biosidus Sociedad Anonima;07795355000203;310201;Hemax 4000 Ui;Polvo Liofilizado Para Inyectable;Eritropoyetina Humana Recombinanate (Rhuepo) 4000 Ui / 2 Ml +;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 4000 Ui + 1 Aampolla Diluyente Por 2 Ml;190,94;0
143.232;38772;30598117094;Biosidus Sociedad Anonima;07795355000159;328436;Bioferon 3 M;Polvo Liofilizado Para Inyectable;Interferon Alfa 2 B Recombinante Humano 3000000 Ui +;;Bajo Receta;3683/11;1 Frasco Ampolla Por 3000000 Ui + 1 Ampolla Diluyente Por 1 Ml;107,07;0
28.030;41440;30598117094;Biosidus Sociedad Anonima;07795355008124;392085;Hypercrit;Polvo Liofilizado Para Inyectable;Eritropoyetina Humana Recombinante 4000 Ui / 2 Ml +;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 4000 Ui + Ampolla Disolvente Por 2 Ml;185,38;0
28.025;41440;30598117094;Biosidus Sociedad Anonima;07795355008117;392077;Hypercrit;Polvo Liofilizado Para Inyectable;Eritropoyetina Humana Recombinante 2000 Ui / 2 Ml +;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 2000 Ui + Ampolla Disolvente Por 2 Ml;99,44;0
140.084;56749;30598117094;Biosidus Sociedad Anonima;07795355000494;6183555;Osteofortil;Solucion Inyectable;Teriparatida 250 Mcg / Ml;;Bajo Receta Archivada;3683/11;30 Jeringa Prellenada Por 80 Mcl;7781,68;0
193.380;38777;30598117094;Biosidus Sociedad Anonima;07795355000210;372152;Hemax 10000 Ui;Polvo Liofilizado Para Inyectable;Eritropoyetina Humana Recombinanate (Rhuepo) 10000 Ui / Ml +;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 10000 Ui + 1 Ampolla Diluyente Por 1 Ml;486,18;0
159.613;38777;30598117094;Biosidus Sociedad Anonima;07795355000180;372144;Hemax 1000 Ui;Polvo Liofilizado Para Inyectable;+ Eritropoyetina Humana Recombinanate (Rhuepo) 1000 Ui / Ml;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 1000 Ui + 1 Ampolla Diluyente Por 1 Ml;63,32;0
150.223;48395;30598117094;Biosidus Sociedad Anonima;;467911;Lenobio;Polvo Liofilizado Para Inyectable;+ Lenograstim 263 Mcg;;Bajo Receta Archivada;Fuera de disposición;Frasco Ampolla Por 1;;0
55.947;41440;30598117094;Biosidus Sociedad Anonima;07795355008308;408840;Hypercrit;Polvo Liofilizado Para Inyectable;+ Eritropoyetina Humana Recombinante Liof. 10000 Ui / 1 Ml;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 10000 Ui + Ampolla Disolvente 1 Ml;472,02;0
66.224;46109;30598117094;Biosidus Sociedad Anonima;07795355000104;594142;Hht 16 Ui;Polvo Liofilizado Para Inyectable;+ Somatropina, Titulada Biologicamente, Esteril Y Apirogena 16 Ui;;Bajo Receta;3683/11;1 Frasco Ampolla Por 16 Ui Somatotropina +  Ampolla De Solvente Por 1 Ml;2090,11;0
137.453;46109;30598117094;Biosidus Sociedad Anonima;07795355000036;425365;Hht 4 Ui;Polvo Liofilizado Para Inyectable;+ Somatropina, Titulada Biologicamente, Esteril Y Apirogena 4 Ui;;Bajo Receta;3683/11;1 Frasco Ampolla Por 4 Ui Somatotropina + Jeringa Prellenada De Solvente Por 1 Ml;522,29;0
87.262;50062;30598117094;Biosidus Sociedad Anonima;;499134;Bioflora;Polvo Para Solucion Oral;Streptococus Faecalis 33000000 Uc + Lactobacillus Plantarum 33000000 Uc + Lactobacillus Casei 33000000 Uc + Bifidobacterium Brevis 1000000 Uc;;Bajo Receta;Fuera de disposición;Frasco Por 1;70,87;0
143.233;51431;30598117094;Biosidus Sociedad Anonima;07795355008377;526931;Blastoferon;Solucion Inyectable;Interferon Beta 1 A Recombinante Humano 44 Mcg;;Bajo Receta Archivada;3683/11;12 Jeringa Prellenada Por ,5 Ml;48039;0
143.234;51431;30598117094;Biosidus Sociedad Anonima;07795355008353;526924;Blastoferon;Solucion Inyectable;Interferon Beta 1 A Recombinante Humano 22 Mcg;;Bajo Receta Archivada;3683/11;12 Jeringa Prellenada Por ,5 Ml;;0
43.852;38772;30598117094;Biosidus Sociedad Anonima;07795355000173;328452;Bioferon 10 M;Polvo Liofilizado Para Inyectable;+ Interferon Alfa 2 10000000 Ui;;Bajo Receta;3683/11;1 Frasco Ampolla Por 10000000 Ui + 1 Ampolla Diluyente Por 1 Ml;297,99;0
143.231;38772;30598117094;Biosidus Sociedad Anonima;07795355000166;320383;Bioferon 5 M;Polvo Liofilizado Para Inyectable;+ Interferon Alfa 2 5000000 Ui;;Bajo Receta;3683/11;1 Frasco Ampolla Por 5000000 Ui + 1 Ampolla Diluyente Por 1 Ml;176,7;0
6.262;44524;30598117094;Biosidus Sociedad Anonima;07795355000128;400185;Neutromax;Solucion Inyectable;Filgrastim 300 Mcg / Ml;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 300 Mcg / Ml;451,19;0
7.348;44524;30598117094;Biosidus Sociedad Anonima;07795355000135;400185;Neutromax;Solucion Inyectable;Filgrastim 300 Mcg / Ml;;Bajo Receta;1831/12 Anexo;5 Frasco Ampolla Por 300 Mcg / Ml;2162,31;0
9.691;44524;30598117094;Biosidus Sociedad Anonima;07795355000142;400193;Neutromax;Solucion Inyectable;Filgrastim 480 Mcg / 1.6 Ml;;Bajo Receta;1831/12 Anexo;5 Frasco Ampolla Por 480 Mcg / 1.6 Ml;2983,97;0
193.402;38777;30598117094;Biosidus Sociedad Anonima;07795355000197;310194;Hemax 2000 Ui;Polvo Liofilizado Para Inyectable;+ Eritropoyetina Humana Recombinanate (Rhuepo) 2000 Ui / 2 Ml;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 2000 Ui + 1 Ampolla Diluyente Por 2 Ml;102,42;0
193.408;38777;30598117094;Biosidus Sociedad Anonima;07795355998111;310194;Hemax 2000 Ui;Polvo Liofilizado Para Inyectable;+ Eritropoyetina Humana Recombinanate (Rhuepo) 2000 Ui / 2 Ml;;Bajo Receta;1831/12 Anexo;25 Frasco Ampolla Por 2000 Ui + 25 Ampolla Diluyente Por 2 Ml;2197,62;0
24.004;38777;30598117094;Biosidus Sociedad Anonima;07795355998098;566468;Hemax 20000 Ui;Polvo Liofilizado Para Inyectable;+ Eritropoyetina Humana 20000 Ui / Ml;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 20000 Ui + 1 Ampolla Diluyente Por 1 Ml;876,71;0
21.840;38777;30598117094;Biosidus Sociedad Anonima;07795355998104;566471;Hemax 40000 Ui;Polvo Liofilizado Para Inyectable;+ Eritropoyetina Humana Recombinante 40000 Ui / Ml;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 40000 Ui + 1 Ampolla Diluyente Por 1 Ml;1555,82;0
24.420;38777;30598117094;Biosidus Sociedad Anonima;07795355008285;510885;Hemax 3000 Ui;Polvo Liofilizado Para Inyectable;Eritropoyetina 3000 Ui / 2 Ml +;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 3000 Ui + 1 Ampolla  Diluyente Por 2 Ml;134,8;0
190.746;48204;30708412038;Biosintex S.A.;;;Tribiocort;Crema;Gentamicina Sulfato ,1 G % + Betametasona 17-Valerato ,1 G % + Miconazol Nitrato 2 G %;;Bajo Receta;Fuera de disposición;1 Pomo Por 20 G;69,5;0
190.781;55601;30708412038;Biosintex S.A.;;;Omaflaxina D;Solucion Oftalmica Esteril;Dexametasona ,1 G / 100 Ml + Ciprofloxacino Clorhidrato ,35 G / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 5 Ml;68,5;0
190.789;26039;30708412038;Biosintex S.A.;;;Antibiocort;Solucion Oftalmica Esteril;Neomicina Sulfato 500 Mg / 100 Ml + Hidrocortisona 250 Mg / 100 Ml + Nafazolina Clorhidrato 50 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;Frasco Gotero Por 10;88;0
190.804;44740;30708412038;Biosintex S.A.;;;Povitiol;Solucion;Iodopovidona 10 G / 100 Ml;;Venta Libre;Fuera de disposición;1 Frasco Gotero Por 60 Ml;46,5;0
190.818;42709;30708412038;Biosintex S.A.;;;Irricutan;Locion;Difenhidramina 1 G % + Calamina 8,1 G % + Clorhidrato De Difenhidramina 1 G + Oxido De Zinc 2 G;;Venta Libre;Fuera de disposición;1 Envase Por 100 Ml;49;0
190.695;54615;30708412038;Biosintex S.A.;;;Pomada Hadensa;Pomada Rectal;Lidocaina Clorhidrato ,7 G / 100 G + Oxido De Zinc 6,6 G / 100 G;;Venta Libre;Fuera de disposición;1 Pomo Por 15 G;48,5;0
190.621;53396;30708412038;Biosintex S.A.;;;Nafazolex;Solucion Nasal;Nafazolina Clorhidrato ,1 G / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 20 Ml;30,5;0
190.596;53525;30708412038;Biosintex S.A.;;;Forzak;Comprimido Masticable;Sildenafil (Como Citrato) 50 Mg;;Bajo Receta Archivada;Fuera de disposición;Blister Por 2;27;0
190.598;53525;30708412038;Biosintex S.A.;;;Forzak;Comprimido Masticable;Sildenafil (Como Citrato) 50 Mg;;Bajo Receta Archivada;Fuera de disposición;Blister Por 4;48;0
190.574;52330;30708412038;Biosintex S.A.;;;Lacrigestina;Solucion Oftalmica;Hidroxipropilmetilcelulosa 300 Mg/100 Ml;;Venta Libre;Fuera de disposición;1 Frasco Por 15 Ml;72,5;0
190.564;52625;30708412038;Biosintex S.A.;;;Piritos;Jarabe;Bromhexina Clorhidrato ,12 G / 100 Ml + Butetamato Citrato ,12 G / 100 Ml;;Venta Libre;Fuera de disposición;1 Frasco Por 120 Ml;50;0
190.561;52796;30708412038;Biosintex S.A.;;;Venzidiak;Gel Dermico;Diclofenaco Dietilamina 1,16 G / 100 G;;Venta Libre;Fuera de disposición;1 Pomo Por 50 G;58,5;0
190.553;51875;30708412038;Biosintex S.A.;;;Biocort;Suspension Oftalmica;Tobramicina 300 Mg/100 Ml + Dexametasona 100 Mg/100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 5 Ml;75;0
190.529;53119;30708412038;Biosintex S.A.;;585026;Pirigrip;Comprimido Recubierto;Paracetamol 500 Mg + Clorfeniramina Maleato 2 Mg + Pseudoefedrina Clorhidrato 30 Mg;;Bajo Receta;Fuera de disposición;1 Blister Por 16 Unidades;50;0
190.528;53119;30708412038;Biosintex S.A.;;585026;Pirigrip;Comprimido Recubierto;Paracetamol 500 Mg + Clorfeniramina Maleato 2 Mg + Pseudoefedrina Clorhidrato 30 Mg;;Bajo Receta;Fuera de disposición;1 Blister Por 8 Unidades;32;0
190.524;54597;30708412038;Biosintex S.A.;;;Ibulgia 2 %;Suspension Oral;Ibuprofeno 2 G / 100 Ml + Ibuprofeno 2000 Mg;;Venta Libre;Fuera de disposición;1 Frasco Por 90 Ml;41;0
190.540;54597;30708412038;Biosintex S.A.;;;Ibulgia 2 %;Suspension Oral;Ibuprofeno 2 G / 100 Ml + Ibuprofeno 2000 Mg;;Venta Libre;Fuera de disposición;1 Frasco Por 120 Ml;45;0
190.518;27926;30708412038;Biosintex S.A.;;;Ocudiafan;Solucion Oftalmica Esteril;Tetrazolina ,01 G;;Bajo Receta;Fuera de disposición;1 Frasco Gotero Por 15 Ml;60,5;0
190.542;47762;30708412038;Biosintex S.A.;;;Oftalbrax;Gotas Oftalmicas;Tobramicina ,3 G / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 5 Ml;67,5;0
190.816;48693;30708412038;Biosintex S.A.;;;Atiglauc;Solucion Oftalmica;Timolol Maleato ,5 G / 100 Ml;;Bajo Receta;Fuera de disposición;Frasco Por 10;59,5;0
190.491;46280;30708412038;Biosintex S.A.;;;Omaflaxina;Solucion Oftalmica Esteril;Ciprofloxacina ,35 G / 100 Ml;;Bajo Receta Archivada;Fuera de disposición;1 Frasco Por 5 Ml;45;0
190.494;54597;30708412038;Biosintex S.A.;;;Ibulgia 4 %;Suspension Oral;Ibuprofeno 4 G / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 90 Ml;60,5;0
192.783;42709;30708412038;Biosintex S.A.;07794207000743;000000;Irricutan;Locion;Clorhidrato De Difenhidramina 1 G / 100 Ml + Oxido De Zinc 2 G / 100 Ml;;Venta Libre;Fuera de disposición;Frasco Por 100 Ml Locion Incolora;49;0
190.875;56876;30708412038;Biosintex S.A.;;;Dipifebral;Jarabe;Dipirona 5 G;;Bajo Receta;Fuera de disposición;Frasco Por 100;41;0
191.738;56876;30708412038;Biosintex S.A.;;;Dipifebral;Jarabe;Dipirona 5 G;;Bajo Receta;Fuera de disposición;Frasco Por 200;59;0
193.535;57011;30708412038;Biosintex S.A.;;;Nafazolex Plus;Solucion Nasal;Clorhidrato De Difenhidramina ,1 G + Nafazolina Clorhidrato ,1 G;;Bajo Receta;Fuera de disposición;1 Frasco Por 20 Ml;34,5;0
190.851;52929;30708412038;Biosintex S.A.;;;Otolef Hc;Suspension Otica;Hidrocortisona 1000 Mg / 100 Ml + Ciprofloxacino Clorhidrato Monohidrato 200 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Gotero Por 5 Ml;35,5;0
